time_index,set_point,measurement,proportional,integrator,differentiator
0.04760,10.000,0.000,5.000,0.046,0.000
0.04800,10.000,0.000,5.000,0.076,0.000
0.04840,10.000,0.000,5.000,0.106,0.000
0.04880,10.000,0.000,5.000,0.136,0.000
0.04920,10.000,0.000,5.000,0.166,0.000
0.04960,9.225,0.000,4.612,0.194,0.000
0.05000,10.000,0.000,5.000,0.223,0.000
0.05040,9.752,0.000,4.876,0.253,0.000
0.05080,10.000,0.000,5.000,0.282,0.000
0.05120,9.962,0.000,4.981,0.312,0.000
0.05160,10.000,0.000,5.000,0.342,0.000
0.05200,10.000,0.000,5.000,0.372,0.000
0.05240,10.000,0.000,5.000,0.402,0.000
0.05280,10.000,0.000,5.000,0.432,0.000
0.05320,9.811,0.000,4.905,0.462,0.000
0.05360,10.000,0.000,5.000,0.492,0.000
0.05400,9.960,0.000,4.980,0.522,0.000
0.05440,10.000,0.000,5.000,0.552,0.000
0.05480,10.000,0.000,5.000,0.582,0.000
0.05520,10.000,0.000,5.000,0.612,0.000
0.05560,9.997,0.000,4.998,0.642,0.000
0.05600,10.000,0.000,5.000,0.672,0.000
0.05640,10.000,0.000,5.000,0.702,0.000
0.05680,10.000,0.086,4.956,0.732,0.000
0.05720,9.943,0.149,4.897,0.761,0.000
0.05760,9.995,0.108,4.943,0.791,0.000
0.05800,10.000,0.165,4.917,0.820,0.000
0.05840,10.000,0.207,4.896,0.850,0.000
0.05880,10.000,0.150,4.924,0.879,0.000
0.05920,10.000,0.196,4.901,0.909,0.000
0.05960,10.000,0.315,4.842,0.938,0.000
0.06000,10.000,0.316,4.841,0.967,0.000
0.06040,10.000,0.230,4.884,0.996,0.000
0.06080,9.802,0.254,4.774,1.000,0.000
0.06120,10.000,0.271,4.864,1.000,0.000
0.06160,10.000,0.284,4.857,1.000,0.000
0.06200,10.000,0.293,4.853,1.000,0.000
0.06240,10.000,0.213,4.893,1.000,0.000
0.06280,9.999,0.242,4.878,1.000,0.000
0.06320,10.000,0.262,4.868,1.000,0.000
0.06360,10.000,0.277,4.861,1.000,0.000
0.06400,10.000,0.375,4.812,1.000,0.000
0.06440,10.000,0.359,4.820,1.000,0.000
0.06480,10.000,0.348,4.825,1.000,0.000
0.06520,10.000,0.340,4.829,1.000,0.000
0.06560,10.000,0.334,4.832,1.000,0.000
0.06600,10.000,0.329,4.835,1.000,0.000
0.06640,10.000,0.240,4.879,1.000,0.000
0.06680,9.977,0.261,4.857,1.000,0.000
0.06720,10.000,0.363,4.818,1.000,0.000
0.06760,9.780,0.351,4.714,1.000,0.000
0.06800,10.000,0.342,4.828,1.000,0.000
0.06840,10.000,0.335,4.832,1.000,0.000
0.06880,9.979,0.330,4.824,1.000,0.000
0.06920,10.000,0.413,4.793,1.000,0.000
0.06960,9.920,0.387,4.766,1.000,0.000
0.07000,9.922,0.369,4.776,1.000,0.000
0.07040,9.828,0.355,4.736,1.000,0.000
0.07080,9.861,0.258,4.801,1.000,0.000
0.07120,9.716,0.274,4.720,1.000,0.000
0.07160,9.858,0.286,4.785,1.000,0.000
0.07200,9.901,0.295,4.803,1.000,0.000
0.07240,9.897,0.301,4.797,1.000,0.000
0.07280,9.907,0.306,4.800,1.000,0.000
0.07320,9.904,0.309,4.797,1.000,0.000
0.07360,9.938,0.311,4.813,1.000,0.000
0.07400,9.943,0.313,4.815,1.000,0.000
0.07440,9.989,0.314,4.837,1.000,0.000
0.07480,9.926,0.315,4.805,1.000,0.000
0.07520,10.000,0.316,4.841,1.000,0.000
0.07560,9.956,0.316,4.819,1.000,0.000
0.07600,9.949,0.230,4.859,1.000,0.000
0.07640,9.945,0.254,4.845,1.000,0.000
0.07680,9.910,0.271,4.819,1.000,0.000
0.07720,9.963,0.284,4.839,1.000,0.000
0.07760,9.884,0.293,4.795,1.000,0.000
0.07800,9.884,0.213,4.835,1.000,0.000
0.07840,9.990,0.242,4.874,1.000,0.000
0.07880,9.892,0.262,4.814,1.000,0.000
0.07920,9.900,0.191,4.854,1.000,0.000
0.07960,9.912,0.225,4.843,1.000,0.000
0.08000,9.930,0.251,4.839,1.000,0.000
0.08040,9.934,0.269,4.832,1.000,0.000
0.08080,9.909,0.282,4.813,1.000,0.000
0.08120,9.989,0.205,4.891,1.000,0.000
0.08160,9.984,0.149,4.917,1.000,0.000
0.08200,9.979,0.195,4.891,1.000,0.000
0.08240,9.929,0.228,4.850,1.000,0.000
0.08280,9.023,0.253,4.385,1.000,0.000
0.08320,10.000,0.270,4.864,1.000,0.000
0.08360,10.000,0.283,4.858,1.000,0.000
0.08400,9.900,0.379,4.760,1.000,0.000
0.08440,10.000,0.362,4.818,1.000,0.000
0.08480,9.907,0.264,4.821,1.000,0.000
0.08520,9.667,0.192,4.737,1.000,0.000
0.08560,9.896,0.226,4.834,1.000,0.000
0.08600,10.000,0.251,4.874,1.000,0.000
0.08640,9.942,0.269,4.836,1.000,0.000
0.08680,9.997,0.282,4.857,1.000,0.000
0.08720,9.917,0.292,4.812,1.000,0.000
0.08760,9.965,0.299,4.833,1.000,0.000
0.08800,9.874,0.218,4.828,1.000,0.000
0.08840,9.928,0.245,4.841,1.000,0.000
0.08880,9.863,0.265,4.799,1.000,0.000
0.08920,9.902,0.279,4.811,1.000,0.000
0.08960,9.998,0.290,4.854,1.000,0.000
0.09000,9.989,0.297,4.845,1.000,0.000
0.09040,9.936,0.303,4.816,1.000,0.000
0.09080,9.987,0.307,4.840,1.000,0.000
0.09120,9.987,0.310,4.838,1.000,0.000
0.09160,9.953,0.226,4.863,1.000,0.000
0.09200,9.961,0.251,4.855,1.000,0.000
0.09240,9.946,0.269,4.838,1.000,0.000
0.09280,9.996,0.282,4.857,1.000,0.000
0.09320,9.957,0.292,4.832,1.000,0.000
0.09360,9.893,0.299,4.796,1.000,0.000
0.09400,9.931,0.304,4.813,1.000,0.000
0.09440,10.000,0.221,4.889,1.000,0.000
0.09480,9.971,0.248,4.861,1.000,0.000
0.09520,9.977,0.267,4.855,1.000,0.000
0.09560,10.000,0.281,4.859,1.000,0.000
0.09600,10.000,0.377,4.811,1.000,0.000
0.09640,10.000,0.361,4.819,1.000,0.000
0.09680,9.926,0.349,4.788,1.000,0.000
0.09720,9.978,0.341,4.818,1.000,0.000
0.09760,9.976,0.334,4.820,1.000,0.000
0.09800,9.959,0.330,4.814,1.000,0.000
0.09840,9.997,0.240,4.878,1.000,0.000
0.09880,10.000,0.261,4.869,1.000,0.000
0.09920,10.000,0.277,4.861,1.000,0.000
0.09960,10.000,0.288,4.855,1.000,0.000
0.10000,10.000,0.296,4.851,1.000,0.000
0.10040,9.953,0.302,4.825,1.000,0.000
0.10080,9.937,0.393,4.772,1.000,0.000
0.10120,10.000,0.372,4.813,1.000,0.000
0.10160,9.969,0.358,4.805,1.000,0.000
0.10200,9.988,0.433,4.777,1.000,0.000
0.10240,9.975,0.488,4.743,1.000,0.000
0.10280,10.000,0.442,4.778,1.000,0.000
0.10320,10.000,0.322,4.838,1.000,0.000
0.10360,9.997,0.321,4.838,1.000,0.000
0.10400,10.000,0.320,4.839,1.000,0.000
0.10440,10.000,0.319,4.840,1.000,0.000
0.10480,10.000,0.405,4.797,1.000,0.000
0.10520,10.000,0.382,4.808,1.000,0.000
0.10560,9.931,0.364,4.783,1.000,0.000
0.10600,10.000,0.438,4.780,1.000,0.000
0.10640,9.987,0.405,4.790,1.000,0.000
0.10680,10.000,0.382,4.808,1.000,0.000
0.10720,10.000,0.364,4.817,1.000,0.000
0.10760,9.948,0.352,4.798,1.000,0.000
0.10800,9.987,0.429,4.778,1.000,0.000
0.10840,10.000,0.485,4.757,1.000,0.000
0.10880,10.000,0.440,4.779,1.000,0.000
0.10920,9.970,0.320,4.825,1.000,0.000
0.10960,9.973,0.320,4.826,1.000,0.000
0.11000,9.987,0.405,4.790,1.000,0.000
0.11040,10.000,0.468,4.765,1.000,0.000
0.11080,10.000,0.427,4.786,1.000,0.000
0.11120,9.923,0.398,4.762,1.000,0.000
0.11160,9.980,0.376,4.802,1.000,0.000
